system_time,src_addr,msg_seq,filter,Tx_time,Rx0_addr,Rx0_time
1418570,3,16979,4,495538753537,2,433402353046
1418595,2,778,8,435002391041,3,497138796868
1418622,3,16980,4,498797554689,2,436661143964
1418644,2,779,8,438132102145,3,500268517807
1418672,3,16981,4,502064315905,2,439927894902
1418693,2,780,8,441261044737,3,503397470233
1418722,3,16982,4,505195830273,2,443059399420
1418744,2,781,8,444519363073,3,506655798816
1418771,3,16983,4,508320075265,2,446183634591
1418796,2,782,8,447775372289,3,509911818279
1418823,3,16984,4,511450852353,2,449314401831
1418847,2,783,8,451029922305,3,513166378526
1418868,3,16985,4,514582256641,2,452445796275
1418897,2,784,8,454278908929,3,516415375380
1418919,3,16986,4,517839684097,2,455703213481
1418992,2,785,8,457416200705,3,519552677026
1419007,3,16987,4,521098103297,2,458961622421
1419009,2,786,8,460535409665,3,522671895806
1419021,3,16988,4,524356908033,2,462220416894
1419044,2,787,8,463664348673,3,525800844665
1419077,3,16989,4,527622623745,2,465486122337
1419100,2,788,8,466919955969,3,529056462209
1419124,3,16990,4,530754607105,2,468618095827
1419145,2,789,8,470177113089,3,532313629594
1419171,3,16991,4,533879249409,2,471742728296
1419202,2,790,8,473431641089,3,535568167837
1419223,3,16992,4,537009839105,2,474873308122
1419247,2,791,8,476689375233,3,538825912242
1419270,3,16993,4,540268269057,2,478131727803
1419296,2,792,8,479817121281,3,541953668140
1419325,3,16994,4,543526506497,2,481389954985
1419347,2,793,8,482944460801,3,545081017519
1419372,3,16995,4,546785241601,2,484648679807
1419394,2,794,8,486073060865,3,548209627451
1419423,3,16996,4,550045175809,2,487908603746
1419445,2,795,8,489329616897,3,551466193751
1419472,3,16997,4,553175503361,2,491038921425
1419496,2,796,8,492584377345,3,554720964459
1419524,3,16998,4,556306243585,2,494169651776
1419547,2,797,8,495846958593,3,557983556003
1419573,3,16999,4,559447017985,2,497310416269
1419598,2,798,8,499096286209,3,561232893863
1419621,3,17000,4,562703459329,2,500566847342
1419647,2,799,8,502224359425,3,564360976952
1419673,3,17001,4,565959486465,2,503822864216
1419696,2,800,8,505352597505,3,567489224898
1419724,3,17002,4,569214049281,2,507077416754
1419745,2,801,8,508482092545,3,570618729811
1419772,3,17003,4,572346707457,2,510210065043
1419796,2,802,8,511737896449,3,573874543990
1419821,3,17004,4,575476488705,2,513339836415
1419847,2,803,8,514993323009,3,577129980825
1419871,3,17005,4,578607538689,2,516470876520
1419900,2,804,8,518254842881,3,580391510996
1419920,3,17006,4,581737978881,2,519601306831
1419947,2,805,8,521379634177,3,583516312157
1419970,3,17007,4,584996811265,2,522860128912
1419996,2,806,8,524511700481,3,586648388353
1420021,3,17008,4,588261210625,2,526124517962
1420045,2,807,8,527639245313,3,589775943067
1420072,3,17009,4,591517322753,2,529380619804
1420095,2,808,8,530770025473,3,592906733120
1420122,3,17010,4,594645821441,2,532509108602
1420145,2,809,8,534025730561,3,596162448495
1420170,3,17011,4,597776621057,2,535639898327
1420196,2,810,8,537281150977,3,599417879200
1420219,3,17012,4,600907693569,2,538770960944
1420246,2,811,8,540533887489,3,602670625995
1420268,3,17013,4,604040206337,2,541903463806
1420296,2,812,8,543657609729,3,605794358111
1420319,3,17014,4,607298841601,2,545162088778
1420344,2,813,8,546785856513,3,608922614785
1420370,3,17015,4,610556306945,2,548419543810
1420393,2,814,8,549914464769,3,612051232932
1420423,3,17016,4,613815212033,2,551678438599
1420442,2,815,8,553042778113,3,615179556174
1420470,3,17017,4,616953722881,2,554816939520
1420494,2,816,8,556298896897,3,618435685249
1420520,3,17018,4,620085598209,2,557948804947
1420544,2,817,8,559555425793,3,621692224463
1420570,3,17019,4,623214759937,2,561077956770
1420595,2,818,8,562812198401,3,624949007363
1420617,3,17020,4,626343335937,2,564206522871
1420644,2,819,8,565940107265,3,628076926118
1420668,3,17021,4,629599577089,2,567462753715
1420693,2,820,8,569068236801,3,631205065563
1420719,3,17022,4,632858328065,2,570721494379
1420742,2,821,8,572195180545,3,634332019207
1420774,3,17023,4,636116166145,2,573979322154
1420791,2,822,8,575329288705,3,637466137286
1420819,3,17024,4,639247228417,2,577110374512
1420842,2,823,8,578582160385,3,640719019267
1420868,3,17025,4,642386348033,2,580249484189
1420893,2,824,8,581841571329,3,643978440536
1420917,3,17026,4,645517114881,2,583380241118
1420945,2,825,8,585096970753,3,647233850259
1420966,3,17027,4,648644734465,2,586507850794
1420995,2,826,8,588355254273,3,650492144103
1421018,3,17028,4,651901420545,2,589764526560
1421048,2,827,8,591483495937,3,653620395678
