IEEE,SR_V1,SR_V2,DSR,CDSR,VICON,TIME
73.0,73.0,73.0,74.0,76.2,87.1816,1413988.3333333333
73.0,73.0,73.0,74.0,76.8,87.1904,1414004.6666666667
73.0,72.0,72.0,73.0,73.0,87.1844,1414021.0
73.0,72.0,72.0,73.0,73.0,87.1771,1414039.3333333333
73.0,72.0,72.0,73.0,73.0,87.1795,1414057.6666666667
71.0,71.0,71.0,71.0,71.0,87.1736,1414076.0
71.0,71.0,71.0,71.0,71.0,87.1803,1414091.6666666667
71.0,71.0,71.0,71.0,71.0,87.1847,1414107.3333333333
71.0,71.0,71.0,73.0,73.0,87.1702,1414123.0
71.0,71.0,71.0,73.0,73.0,87.1780,1414140.6666666667
71.0,71.0,71.0,73.0,73.0,87.1773,1414158.3333333333
72.0,72.0,72.0,73.0,73.0,87.1766,1414176.0
72.0,72.0,72.0,73.0,73.0,87.1403,1414192.0
72.0,72.0,72.0,73.0,73.0,87.1736,1414208.0
72.0,69.0,69.0,71.0,71.0,87.1774,1414224.0
72.0,69.0,69.0,71.0,71.0,87.1713,1414240.6666666667
72.0,69.0,69.0,71.0,71.0,87.1713,1414257.3333333333
71.0,71.0,71.0,72.0,72.0,87.1780,1414274.0
71.0,71.0,71.0,72.0,72.0,87.1881,1414289.6666666667
71.0,71.0,71.0,72.0,72.0,87.1888,1414305.3333333333
71.0,71.0,71.0,72.0,72.0,87.1711,1414321.0
71.0,71.0,71.0,72.0,72.0,87.1691,1414338.0
71.0,71.0,71.0,72.0,72.0,87.1642,1414355.0
73.0,73.0,73.0,74.0,75.4,87.1826,1414372.0
73.0,73.0,73.0,74.0,76.1,87.1893,1414389.0
73.0,73.0,73.0,74.0,76.8,87.1879,1414406.0
73.0,72.0,72.0,73.0,73.0,87.1811,1414423.0
73.0,72.0,72.0,73.0,73.0,87.1784,1414440.0
73.0,72.0,72.0,73.0,73.0,87.1856,1414457.0
73.0,73.0,73.0,73.0,73.0,87.1808,1414474.0
73.0,73.0,73.0,73.0,73.0,87.1780,1414491.6666666667
73.0,73.0,73.0,73.0,73.0,87.1860,1414509.3333333333
73.0,72.0,72.0,73.0,73.0,87.1875,1414527.0
73.0,72.0,72.0,73.0,73.0,87.1741,1414545.3333333333
73.0,72.0,72.0,73.0,73.0,87.1828,1414563.6666666667
74.0,74.0,74.0,74.0,74.0,87.1827,1414582.0
74.0,74.0,74.0,74.0,74.0,87.1842,1414595.6666666667
74.0,74.0,74.0,74.0,74.0,87.1830,1414609.3333333333
74.0,71.0,71.0,72.0,72.0,87.1826,1414623.0
74.0,71.0,71.0,72.0,72.0,87.1815,1414640.6666666667
74.0,71.0,71.0,72.0,72.0,87.1719,1414658.3333333333
70.0,70.0,70.0,69.0,66.8,87.1778,1414676.0
70.0,70.0,70.0,69.0,65.8,87.1778,1414692.6666666667
70.0,70.0,70.0,69.0,64.7,87.1825,1414709.3333333333
70.0,71.0,71.0,71.0,71.0,87.1825,1414726.0
70.0,71.0,71.0,71.0,71.0,87.1865,1414742.0
70.0,71.0,71.0,71.0,71.0,87.2080,1414758.0
72.0,72.0,72.0,73.0,74.5,87.1887,1414774.0
72.0,72.0,72.0,73.0,75.1,87.1830,1414791.0
72.0,72.0,72.0,73.0,75.8,87.1752,1414808.0
72.0,73.0,73.0,73.0,73.0,87.1808,1414825.0
72.0,73.0,73.0,73.0,73.0,87.1949,1414842.3333333333
72.0,73.0,73.0,73.0,73.0,87.1799,1414859.6666666667
74.0,74.0,74.0,75.0,76.6,87.1876,1414877.0
74.0,74.0,74.0,75.0,77.2,87.1790,1414893.3333333333
74.0,74.0,74.0,75.0,77.8,87.1814,1414909.6666666667
74.0,73.0,73.0,72.0,72.0,87.1782,1414926.0
74.0,73.0,73.0,72.0,72.0,87.1819,1414942.3333333333
74.0,73.0,73.0,72.0,72.0,87.1475,1414958.6666666667
69.0,69.0,69.0,70.0,70.0,87.1788,1414975.0
69.0,69.0,69.0,70.0,70.0,87.1794,1414991.3333333333
69.0,69.0,69.0,70.0,70.0,87.1770,1415007.6666666667
69.0,71.0,71.0,71.0,71.0,87.1771,1415024.0
69.0,71.0,71.0,71.0,71.0,87.1771,1415040.6666666667
69.0,71.0,71.0,71.0,71.0,87.1879,1415057.3333333333
71.0,71.0,71.0,72.0,72.0,87.1729,1415074.0
71.0,71.0,71.0,72.0,72.0,87.1715,1415091.0
71.0,71.0,71.0,72.0,72.0,87.1766,1415108.0
